kod_stacji,nazwa,lon,lat,kategoria,zrodlo,wysokosc_npm,rok_zalozenia
252210290,RYBIENKO,21.429167,52.577778,IMGW - posterunek opadowy,IMGW-PIB,93,2014
351230497,WŁODAWA,23.529444,51.553333,IMGW - stacja synoptyczna,IMGW-PIB,177,1954
352220385,SIEDLCE,22.244722,52.181111,IMGW - stacja synoptyczna,IMGW-PIB,152,1881
250240010,STRZYŻÓW,24.035556,50.84,IMGW - posterunek opadowy,IMGW-PIB,181,2001
352230399,TERESPOL,23.621944,52.078611,IMGW - stacja synoptyczna,IMGW-PIB,133,1954
250230070,TOMASZÓW LUBELSKI,23.398889,50.458056,IMGW - stacja klimatologiczna,IMGW-PIB,270,1921
252230190,CICIBÓR,23.109444,52.076944,IMGW - stacja klimatologiczna,IMGW-PIB,144,2000
252190120,ŻYCHLIN,19.623056,52.242778,IMGW - posterunek opadowy,IMGW-PIB,97,
253190030,DOBROCIN,19.828056,53.908333,IMGW - stacja klimatologiczna,IMGW-PIB,118,1972
253190220,LIDZBARK,19.824167,53.254444,IMGW - stacja klimatologiczna,IMGW-PIB,140,1948
352190360,PŁOCK,19.725833,52.588333,IMGW - stacja synoptyczna,IMGW-PIB,106,1946
251200030,SKIERNIEWICE,20.160278,51.965278,IMGW - stacja klimatologiczna,IMGW-PIB,128,1895
252190160,WALEWICE,19.665556,52.102778,IMGW - posterunek opadowy,IMGW-PIB,95,1946
253190310,KULIGI,19.691111,53.430833,IMGW - posterunek opadowy,IMGW-PIB,96,2005
252190030,GŁODOWO,19.235556,52.830556,IMGW - stacja klimatologiczna,IMGW-PIB,104,1947
252200080,BORKOWO,20.660278,52.561944,IMGW - posterunek opadowy,IMGW-PIB,85,1998
252210050,PUŁTUSK,21.090278,52.7275,IMGW - stacja klimatologiczna,IMGW-PIB,95,1947
252230010,NOWOSADY,23.878889,52.9725,IMGW - posterunek opadowy,IMGW-PIB,160,1973
252230030,BONDARY,23.754444,52.9375,IMGW - stacja klimatologiczna,IMGW-PIB,147,1973
252230090,CHRABOŁY,23.195556,52.862222,IMGW - posterunek opadowy,IMGW-PIB,127,2005
252230120,BIAŁOWIEŻA,23.847778,52.707222,IMGW - stacja klimatologiczna,IMGW-PIB,163,1946
353210280,MIKOŁAJKI,21.589722,53.789167,IMGW - stacja synoptyczna,IMGW-PIB,127,1952
354220195,SUWAŁKI,22.948889,54.130833,IMGW - stacja synoptyczna,IMGW-PIB,184,1946
253210170,ROZOGI,21.379444,53.491389,IMGW - posterunek opadowy,IMGW-PIB,130,1949
253210210,MYSZYNIEC,21.350278,53.384444,IMGW - stacja klimatologiczna,IMGW-PIB,120,1983
253210260,ZARUZIE,21.8025,53.1475,IMGW - posterunek opadowy,IMGW-PIB,87,2005
253220080,DĘBOWO,22.930556,53.610556,IMGW - posterunek opadowy,IMGW-PIB,115,1946
253220130,RADZIŁÓW,22.405278,53.413889,IMGW - posterunek opadowy,IMGW-PIB,115,1963
253220160,BURZYN,22.454167,53.278611,IMGW - posterunek opadowy,IMGW-PIB,120,1949
353230295,BIAŁYSTOK,23.162222,53.107222,IMGW - stacja synoptyczna,IMGW-PIB,148,1945
253220120,OSOWIEC,22.645833,53.4825,IMGW - posterunek opadowy,IMGW-PIB,110,1946
252210020,CZARNOWO,21.535,52.881944,IMGW - posterunek opadowy,IMGW-PIB,94,2005
253220310,MOŃKI,22.796389,53.400278,IMGW - posterunek opadowy,IMGW-PIB,175,2014
254220090,OLECKO,22.486944,54.0475,IMGW - stacja klimatologiczna,IMGW-PIB,182,1949
253230180,DRAHLE,23.555,53.385556,IMGW - posterunek opadowy,IMGW-PIB,162,2012
253210370,ŚWIĘTAJNO,21.228056,53.563611,IMGW - stacja klimatologiczna,IMGW-PIB,142,2018
353160230,PIŁA,16.747222,53.130556,IMGW - stacja synoptyczna,IMGW-PIB,72,1970
353160215,SZCZECINEK,16.746667,53.717778,IMGW - stacja synoptyczna,IMGW-PIB,139,1946
253160010,SĘPOLNO WIELKIE,16.773611,53.9475,IMGW - posterunek opadowy,IMGW-PIB,165,1954
253160110,JASTROWIE,16.813889,53.425556,IMGW - posterunek opadowy,IMGW-PIB,111,1947
253170160,SYPNIEWO,17.330278,53.364444,IMGW - posterunek opadowy,IMGW-PIB,128,1963
252180080,KOŁUDA WIELKA,18.148889,52.735833,IMGW - stacja klimatologiczna,IMGW-PIB,88,1948
252150050,KRZYŻ,15.983611,52.881111,IMGW - stacja klimatologiczna,IMGW-PIB,34,1957
253170210,CHRZĄSTOWO,17.583611,53.161111,IMGW - stacja klimatologiczna,IMGW-PIB,105,1953
253150250,DRAWNO,15.77,53.213056,IMGW - posterunek opadowy,IMGW-PIB,76,2005
253160090,WIERZCHOWO,16.104444,53.46,IMGW - stacja klimatologiczna,IMGW-PIB,137,1956
250180590,RYBNIK-STODOŁY,18.483056,50.154444,IMGW - posterunek opadowy,IMGW-PIB,216,2006
250160650,MIĘDZYLESIE,16.670833,50.153333,IMGW - posterunek opadowy,IMGW-PIB,453,1946
250170110,DOBROGOSZCZ,17.017222,50.758611,IMGW - stacja klimatologiczna,IMGW-PIB,175,1955
250170290,DZIEWIĘTLICE,17.084167,50.411389,IMGW - posterunek opadowy,IMGW-PIB,241,1946
250170330,GŁUCHOŁAZY,17.387222,50.302222,IMGW - stacja klimatologiczna,IMGW-PIB,348,1945
250170340,JARNOŁTÓWEK,17.438056,50.288056,IMGW - posterunek opadowy,IMGW-PIB,346,1946
250170390,GŁUBCZYCE,17.794722,50.181944,IMGW - stacja klimatologiczna,IMGW-PIB,290,1946
250180190,KRUPSKI MŁYN,18.623333,50.569167,IMGW - posterunek opadowy,IMGW-PIB,225,1955
249180260,ISTEBNA-KUBALONKA,18.901111,49.603611,IMGW - stacja klimatologiczna,IMGW-PIB,780,1974
250180690,PILCHOWICE,18.591944,50.224167,IMGW - posterunek opadowy,IMGW-PIB,221,2023
249210350,MOSZCZANIEC,21.912778,49.422222,IMGW - posterunek opadowy,IMGW-PIB,467,2023
249180580,GOCZAŁKOWICE-ZDRÓJ,18.933889,49.938333,IMGW - posterunek opadowy,IMGW-PIB,259,2023
